id;name;category;barcode;price;purchasePrice;stock;minStock;image;expirationDate
187;Biscotti;Biscuits & Gâteaux;6111259347434;;;50;5;1.jpg;
309;Chocup;Biscuits & Gâteaux;6111259340060;;;50;5;2.jpg;
260;Cuetara Digesta Light 200G Marie Cookies;Biscuits & Gâteaux;8434165437418;;;50;5;3.jpg;
122;Eyoo cover;Biscuits & Gâteaux;6111259340992;;;50;5;4.jpg;
143;Golden;Biscuits & Gâteaux;6111031005651;;;50;5;5.jpg;
82;Henry's Petit Surfin;Biscuits & Gâteaux;3362600011006;;;50;5;6.jpg;
41;Henry’s;Biscuits & Gâteaux;3362600011044;;;50;5;7.jpg;
541;Kenz Biscuits;Biscuits & Gâteaux;;;;50;5;8.jpg;
684;Kenz Biscuits;Biscuits & Gâteaux;;;;50;5;9.jpg;
449;Lotus biscoff;Biscuits & Gâteaux;5410126006049;;;50;5;10.jpg;
281;Megachok;Biscuits & Gâteaux;8412674005021;;;50;5;11.jpg;
313;Merendina;Biscuits & Gâteaux;6111031005453;;;50;5;12.jpg;
127;Pauz;Biscuits & Gâteaux;6111259347861;;;50;5;13.jpg;
390;Suprême;Biscuits & Gâteaux;6111259346741;;;50;5;14.jpg;
148;Tagger;Biscuits & Gâteaux;6111031005033;;;50;5;15.jpg;
263;Tango;Biscuits & Gâteaux;6111031005095;;;50;5;16.jpg;
18;Tonik;Biscuits & Gâteaux;6111031005064;;;50;5;17.jpg;
402;Top cookies;Biscuits & Gâteaux;6111259341517;;;50;5;18.jpg;
483;Whola Digestive Biscuits Classic;Biscuits & Gâteaux;8690526082004;;;50;5;19.jpg;
485;tuc original;Biscuits & Gâteaux;7622202026980;;;50;5;20.jpg;
379;vamos;Biscuits & Gâteaux;6111271590498;;;50;5;21.jpg;
65;Печиво zero sugar free;Biscuits & Gâteaux;8410376009392;;;50;5;22.jpg;
507;7UP;Boissons;;;;50;5;23.jpg;
564;7UP;Boissons;;;;50;5;24.jpg;
678;7UP;Boissons;;;;50;5;25.jpg;
475;Abtal;Boissons;6111251752762;;;50;5;26.jpg;
476;Aiguebelle;Boissons;6111017046548;;;50;5;27.jpg;
9;Ain Saïss;Boissons;6111128000071;;;50;5;28.jpg;
689;Andros Jus Pomme;Boissons;;;;50;5;29.jpg;
495;Biscuits Tacos au Cacao;Boissons;6111242600553;;;50;5;30.jpg;
705;Boustan Mangue;Boissons;;;;50;5;31.jpg;
509;Boustan Nectar Orange;Boissons;;;;50;5;32.jpg;
529;Bouteilles de jus;Boissons;;;;50;5;33.jpg;
