id;name;category;barcode;price;purchasePrice;stock;minStock;image;expirationDate;priceStatus;imageStatus
1;Biscotti;Biscuits & Gâteaux;6111259347434;0.0;0.0;50;5;1.jpg;;MISSING;MISSING
2;Chocup;Biscuits & Gâteaux;6111259340060;0.0;0.0;50;5;2.jpg;;MISSING;MISSING
3;Cuetara Digesta Light 200G Marie Cookies;Biscuits & Gâteaux;8434165437418;0.0;0.0;50;5;3.jpg;;MISSING;MISSING
4;Eyoo cover;Biscuits & Gâteaux;6111259340992;0.0;0.0;50;5;4.jpg;;MISSING;MISSING
5;Golden;Biscuits & Gâteaux;6111031005651;0.0;0.0;50;5;5.jpg;;MISSING;MISSING
6;Henry's Petit Surfin;Biscuits & Gâteaux;3362600011006;0.0;0.0;50;5;6.jpg;;MISSING;MISSING
7;Henry’s;Biscuits & Gâteaux;3362600011044;0.0;0.0;50;5;7.jpg;;MISSING;MISSING
8;Kenz Biscuits;Biscuits & Gâteaux;;0.0;0.0;50;5;8.jpg;;MISSING;MISSING
9;Lotus biscoff;Biscuits & Gâteaux;5410126006049;0.0;0.0;50;5;9.jpg;;MISSING;MISSING
10;Megachok;Biscuits & Gâteaux;8412674005021;0.0;0.0;50;5;10.jpg;;MISSING;MISSING
11;Merendina;Biscuits & Gâteaux;6111031005453;0.0;0.0;50;5;11.jpg;;MISSING;MISSING
12;Pauz;Biscuits & Gâteaux;6111259347861;0.0;0.0;50;5;12.jpg;;MISSING;MISSING
13;Suprême;Biscuits & Gâteaux;6111259346741;0.0;0.0;50;5;13.jpg;;MISSING;MISSING
14;Tagger;Biscuits & Gâteaux;6111031005033;0.0;0.0;50;5;14.jpg;;MISSING;MISSING
15;Tango;Biscuits & Gâteaux;6111031005095;0.0;0.0;50;5;15.jpg;;MISSING;MISSING
16;Tonik;Biscuits & Gâteaux;6111031005064;0.0;0.0;50;5;16.jpg;;MISSING;MISSING
17;Top cookies;Biscuits & Gâteaux;6111259341517;0.0;0.0;50;5;17.jpg;;MISSING;MISSING
18;Whola Digestive Biscuits Classic;Biscuits & Gâteaux;8690526082004;0.0;0.0;50;5;18.jpg;;MISSING;MISSING
19;tuc original;Biscuits & Gâteaux;7622202026980;0.0;0.0;50;5;19.jpg;;MISSING;MISSING
20;vamos;Biscuits & Gâteaux;6111271590498;0.0;0.0;50;5;20.jpg;;MISSING;MISSING
21;Печиво zero sugar free;Biscuits & Gâteaux;8410376009392;0.0;0.0;50;5;21.jpg;;MISSING;MISSING
22;7UP;Boissons;;0.0;0.0;50;5;22.jpg;;MISSING;MISSING
23;Abtal;Boissons;6111251752762;0.0;0.0;50;5;23.jpg;;MISSING;MISSING
24;Aiguebelle;Boissons;6111017046548;0.0;0.0;50;5;24.jpg;;MISSING;MISSING
25;Ain Saïss;Boissons;6111128000071;0.0;0.0;50;5;25.jpg;;MISSING;MISSING
26;Andros Jus Pomme;Boissons;;0.0;0.0;50;5;26.jpg;;MISSING;MISSING
27;Biscuits Tacos au Cacao;Boissons;6111242600553;0.0;0.0;50;5;27.jpg;;MISSING;MISSING
28;Boustan Mangue;Boissons;;0.0;0.0;50;5;28.jpg;;MISSING;MISSING
29;Boustan Nectar Orange;Boissons;;0.0;0.0;50;5;29.jpg;;MISSING;MISSING
30;Bouteilles de jus;Boissons;;0.0;0.0;50;5;30.jpg;;MISSING;MISSING
31;Caobel;Boissons;6111017007013;0.0;0.0;50;5;31.jpg;;MISSING;MISSING
32;Cappy PULPY;Boissons;90382383;0.0;0.0;50;5;32.jpg;;MISSING;MISSING
33;Cappy PULPY;Boissons;5449000147417;0.0;0.0;50;5;33.jpg;;MISSING;MISSING
34;Chocao energie;Boissons;6111180010414;0.0;0.0;50;5;34.jpg;;MISSING;MISSING
35;Chocolat Noir 92% cacao;Boissons;8410510012196;0.0;0.0;50;5;35.jpg;;MISSING;MISSING
36;Chocolat Tentation Noir Gourmand Amandes;Boissons;6111017042427;0.0;0.0;50;5;36.jpg;;MISSING;MISSING
37;Chocolat monogram;Boissons;6111025120605;0.0;0.0;50;5;37.jpg;;MISSING;MISSING
38;Chocolate con leche y almendras;Boissons;8425197712024;0.0;0.0;50;5;38.jpg;;MISSING;MISSING
39;Classic;Boissons;6111250470254;0.0;0.0;50;5;39.jpg;;MISSING;MISSING
40;Coca - Cola;Boissons;42105220;0.0;0.0;50;5;40.jpg;;MISSING;MISSING
41;Coca - Cola;Boissons;5449000000286;0.0;0.0;50;5;41.jpg;;MISSING;MISSING
42;Coca - Cola;Boissons;;0.0;0.0;50;5;42.jpg;;MISSING;MISSING
43;Coca - Cola Original Taste;Boissons;5449000054227;0.0;0.0;50;5;43.jpg;;MISSING;MISSING
44;Coca - Cola original taste;Boissons;90338243;0.0;0.0;50;5;44.jpg;;MISSING;MISSING
45;Coca - Cola slim 25cl;Boissons;5449000008046;0.0;0.0;50;5;45.jpg;;MISSING;MISSING
46;Coca Cola Original taste;Boissons;5449000000439;0.0;0.0;50;5;46.jpg;;MISSING;MISSING
47;Coca cola zero;Boissons;90375323;0.0;0.0;50;5;47.jpg;;MISSING;MISSING
48;Cocacola zero sugar;Boissons;5449000133328;0.0;0.0;50;5;48.jpg;;MISSING;MISSING
49;Cooky chocolate;Boissons;6111259346352;0.0;0.0;50;5;49.jpg;;MISSING;MISSING
50;Danettz Chocolat;Boissons;6111032006749;0.0;0.0;50;5;50.jpg;;MISSING;MISSING
51;Danone max red fruit;Boissons;6111032009412;0.0;0.0;50;5;51.jpg;;MISSING;MISSING
52;Disfruta Frutas Y Vitaminas Brik imp;Boissons;8410707000241;0.0;0.0;50;5;52.jpg;;MISSING;MISSING
53;Disfruta Jus;Boissons;;0.0;0.0;50;5;53.jpg;;MISSING;MISSING
54;FRUT MAX;Boissons;6111242926806;0.0;0.0;50;5;54.jpg;;MISSING;MISSING
55;Fanta Orange;Boissons;6111259347106;0.0;0.0;50;5;55.jpg;;MISSING;MISSING
56;Fanta Orange;Boissons;;0.0;0.0;50;5;56.jpg;;MISSING;MISSING
57;Flash Wondermint Gum;Boissons;6111199000017;0.0;0.0;50;5;57.jpg;;MISSING;MISSING
58;Glass Orange;Boissons;;0.0;0.0;50;5;58.jpg;;MISSING;MISSING
59;Granola chocolate / pieces of chocolate;Boissons;5900617002983;0.0;0.0;50;5;59.jpg;;MISSING;MISSING
60;Gullon ostya Kakaó 60g;Boissons;8410376059373;0.0;0.0;50;5;60.jpg;;MISSING;MISSING
61;HAWAI ANANAS;Boissons;5449000036919;0.0;0.0;50;5;61.jpg;;MISSING;MISSING
62;Hawai Tropical;Boissons;5449000036872;0.0;0.0;50;5;62.jpg;;MISSING;MISSING
63;Hawaii;Boissons;90418235;0.0;0.0;50;5;63.jpg;;MISSING;MISSING
64;Haway tropical;Boissons;5449000025272;0.0;0.0;50;5;64.jpg;;MISSING;MISSING
65;Ice Passion;Boissons;6111243860376;0.0;0.0;50;5;65.jpg;;MISSING;MISSING
66;Jibi;Boissons;6111032007128;0.0;0.0;50;5;66.jpg;;MISSING;MISSING
67;Jutos;Boissons;6111242106666;0.0;0.0;50;5;67.jpg;;MISSING;MISSING
68;Jutos;Boissons;6111242106673;0.0;0.0;50;5;68.jpg;;MISSING;MISSING
69;Jutos Orange;Boissons;;0.0;0.0;50;5;69.jpg;;MISSING;MISSING
70;Jutos cocktail;Boissons;6111242106277;0.0;0.0;50;5;70.jpg;;MISSING;MISSING
71;King cookies choco;Boissons;6111259343344;0.0;0.0;50;5;71.jpg;;MISSING;MISSING
72;Lemon;Boissons;50112784;0.0;0.0;50;5;72.jpg;;MISSING;MISSING
73;Marhaba;Boissons;6111260680452;0.0;0.0;50;5;73.jpg;;MISSING;MISSING
74;Marjane Nectar Orange;Boissons;;0.0;0.0;50;5;74.jpg;;MISSING;MISSING
75;Mejora;Boissons;6111017045404;0.0;0.0;50;5;75.jpg;;MISSING;MISSING
76;Merendina;Boissons;6111031005439;0.0;0.0;50;5;76.jpg;;MISSING;MISSING
77;Momo black;Boissons;6111259341197;0.0;0.0;50;5;77.jpg;;MISSING;MISSING
78;Napolitain Noir;Boissons;6111017045329;0.0;0.0;50;5;78.jpg;;MISSING;MISSING
79;Nectar Orange;Boissons;6111179003847;0.0;0.0;50;5;79.jpg;;MISSING;MISSING
80;Nectar Orange;Boissons;;0.0;0.0;50;5;80.jpg;;MISSING;MISSING
81;Nesquik Cereal;Boissons;7613287366665;0.0;0.0;50;5;81.jpg;;MISSING;MISSING
82;Nesquik Cocoa;Boissons;7613287431943;0.0;0.0;50;5;82.jpg;;MISSING;MISSING
83;Nutabella;Boissons;6111265980243;0.0;0.0;50;5;83.jpg;;MISSING;MISSING
