id;name;category;barcode;price;stock;minStock;image
187;Biscotti;Biscuits & Gâteaux;6111259347434;;50;5;images/187.jpg
309;Chocup;Biscuits & Gâteaux;6111259340060;;50;5;images/309.jpg
260;Cuetara Digesta Light 200G Marie Cookies;Biscuits & Gâteaux;8434165437418;;50;5;images/260.jpg
122;Eyoo cover;Biscuits & Gâteaux;6111259340992;;50;5;images/122.jpg
143;Golden;Biscuits & Gâteaux;6111031005651;;50;5;images/143.jpg
82;Henry's Petit Surfin;Biscuits & Gâteaux;3362600011006;;50;5;images/82.jpg
41;Henry’s;Biscuits & Gâteaux;3362600011044;;50;5;images/41.jpg
541;Kenz Biscuits;Biscuits & Gâteaux;;;50;5;images/541.jpg
684;Kenz Biscuits;Biscuits & Gâteaux;;;50;5;images/684.jpg
449;Lotus biscoff;Biscuits & Gâteaux;5410126006049;;50;5;images/449.jpg
281;Megachok;Biscuits & Gâteaux;8412674005021;;50;5;images/281.jpg
313;Merendina;Biscuits & Gâteaux;6111031005453;;50;5;images/313.jpg
127;Pauz;Biscuits & Gâteaux;6111259347861;;50;5;images/127.jpg
390;Suprême;Biscuits & Gâteaux;6111259346741;;50;5;images/390.jpg
148;Tagger;Biscuits & Gâteaux;6111031005033;;50;5;images/148.jpg
263;Tango;Biscuits & Gâteaux;6111031005095;;50;5;images/263.jpg
18;Tonik;Biscuits & Gâteaux;6111031005064;;50;5;images/18.jpg
402;Top cookies;Biscuits & Gâteaux;6111259341517;;50;5;images/402.jpg
483;Whola Digestive Biscuits Classic;Biscuits & Gâteaux;8690526082004;;50;5;images/483.jpg
485;tuc original;Biscuits & Gâteaux;7622202026980;;50;5;images/485.jpg
379;vamos;Biscuits & Gâteaux;6111271590498;;50;5;images/379.jpg
65;Печиво zero sugar free;Biscuits & Gâteaux;8410376009392;;50;5;images/65.jpg
507;7UP;Boissons;;;50;5;images/507.jpg
564;7UP;Boissons;;;50;5;images/564.jpg
678;7UP;Boissons;;;50;5;images/678.jpg
475;Abtal;Boissons;6111251752762;;50;5;images/475.jpg
476;Aiguebelle;Boissons;6111017046548;;50;5;images/476.jpg
9;Ain Saïss;Boissons;6111128000071;;50;5;images/9.jpg
689;Andros Jus Pomme;Boissons;;;50;5;images/689.jpg
495;Biscuits Tacos au Cacao;Boissons;6111242600553;;50;5;images/495.jpg
705;Boustan Mangue;Boissons;;;50;5;images/705.jpg
509;Boustan Nectar Orange;Boissons;;;50;5;images/509.jpg
529;Bouteilles de jus;Boissons;;;50;5;images/529.jpg
139;Caobel;Boissons;6111017007013;;50;5;images/139.jpg
162;Cappy PULPY;Boissons;90382383;;50;5;images/162.jpg
19;Cappy PULPY;Boissons;5449000147417;;50;5;images/19.jpg
455;Chocao energie;Boissons;6111180010414;;50;5;images/455.jpg
230;Chocolat Noir 92% cacao;Boissons;8410510012196;;50;5;images/230.jpg
366;Chocolat Tentation Noir Gourmand Amandes;Boissons;6111017042427;;50;5;images/366.jpg
320;Chocolat monogram;Boissons;6111025120605;;50;5;images/320.jpg
68;Chocolate con leche y almendras;Boissons;8425197712024;;50;5;images/68.jpg
275;Classic;Boissons;6111250470254;;50;5;images/275.jpg
174;Coca - Cola;Boissons;42105220;;50;5;images/174.jpg
463;Coca - Cola;Boissons;5449000000286;;50;5;images/463.jpg
543;Coca - Cola;Boissons;;;50;5;images/543.jpg
568;Coca - Cola;Boissons;;;50;5;images/568.jpg
