id;name;barcode;price
187;Biscotti;6111259347434;0.00
309;Chocup;6111259340060;0.00
260;Cuetara Digesta Light 200G Marie Cookies;8434165437418;0.00
122;Eyoo cover;6111259340992;0.00
143;Golden;6111031005651;0.00
82;Henry's Petit Surfin;3362600011006;0.00
41;Henry’s;3362600011044;0.00
541;Kenz Biscuits;;0.00
684;Kenz Biscuits;;0.00
449;Lotus biscoff;5410126006049;0.00
281;Megachok;8412674005021;0.00
313;Merendina;6111031005453;0.00
127;Pauz;6111259347861;0.00
390;Suprême;6111259346741;0.00
148;Tagger;6111031005033;0.00
263;Tango;6111031005095;0.00
18;Tonik;6111031005064;0.00
402;Top cookies;6111259341517;0.00
483;Whola Digestive Biscuits Classic;8690526082004;0.00
485;tuc original;7622202026980;0.00
379;vamos;6111271590498;0.00
65;Печиво zero sugar free;8410376009392;0.00
507;7UP;;0.00
564;7UP;;0.00
678;7UP;;0.00
475;Abtal;6111251752762;0.00
476;Aiguebelle;6111017046548;0.00
9;Ain Saïss;6111128000071;0.00
689;Andros Jus Pomme;;0.00
495;Biscuits Tacos au Cacao;6111242600553;0.00
705;Boustan Mangue;;0.00
509;Boustan Nectar Orange;;0.00
529;Bouteilles de jus;;0.00
139;Caobel;6111017007013;0.00
162;Cappy PULPY;90382383;0.00
19;Cappy PULPY;5449000147417;0.00
455;Chocao energie;6111180010414;0.00
230;Chocolat Noir 92% cacao;8410510012196;0.00
366;Chocolat Tentation Noir Gourmand Amandes;6111017042427;0.00
320;Chocolat monogram;6111025120605;0.00
68;Chocolate con leche y almendras;8425197712024;0.00
275;Classic;6111250470254;0.00
174;Coca - Cola;42105220;0.00
463;Coca - Cola;5449000000286;0.00
543;Coca - Cola;;0.00
568;Coca - Cola;;0.00
573;Coca - Cola;;0.00
677;Coca - Cola;;0.00
26;Coca - Cola Original Taste;5449000054227;0.00
170;Coca - Cola original taste;90338243;0.00
337;Coca - Cola slim 25cl;5449000008046;0.00
114;Coca Cola Original taste;5449000000439;0.00
414;Coca cola zero;90375323;0.00
193;Cocacola zero sugar;5449000133328;0.00
437;Cooky chocolate;6111259346352;0.00
196;Danettz Chocolat;6111032006749;0.00
412;Danone max red fruit;6111032009412;0.00
470;Disfruta Frutas Y Vitaminas Brik imp;8410707000241;0.00
641;Disfruta Jus;;0.00
417;FRUT MAX;6111242926806;0.00
481;Fanta Orange;6111259347106;0.00
555;Fanta Orange;;0.00
570;Fanta Orange;;0.00
634;Fanta Orange;;0.00
648;Fanta Orange;;0.00
352;Flash Wondermint Gum;6111199000017;0.00
557;Glass Orange;;0.00
668;Glass Orange;;0.00
311;Granola chocolate / pieces of chocolate;5900617002983;0.00
324;Gullon ostya Kakaó 60g;8410376059373;0.00
376;HAWAI ANANAS;5449000036919;0.00
66;Hawai Tropical;5449000036872;0.00
478;Hawaii;90418235;0.00
375;Haway tropical;5449000025272;0.00
197;Ice Passion;6111243860376;0.00
257;Jibi;6111032007128;0.00
297;Jutos;6111242106666;0.00
385;Jutos;6111242106673;0.00
575;Jutos Orange;;0.00
653;Jutos Orange;;0.00
291;Jutos cocktail;6111242106277;0.00
117;King cookies choco;6111259343344;0.00
498;Lemon;50112784;0.00
185;Marhaba;6111260680452;0.00
644;Marjane Nectar Orange;;0.00
387;Mejora;6111017045404;0.00
58;Merendina;6111031005439;0.00
91;Momo black;6111259341197;0.00
231;Napolitain Noir;6111017045329;0.00
398;Nectar Orange;6111179003847;0.00
654;Nectar Orange;;0.00
300;Nesquik Cereal;7613287366665;0.00
145;Nesquik Cocoa;7613287431943;0.00
400;Nutabella;6111265980243;0.00
332;Orangina et sa Pulpe !;8435185101112;0.00
473;Oreo chocolate;6111031005590;0.00
371;Oulmes virgin mojito;6111035002113;0.00
522;Pepsi;;0.00
665;Pepsi;;0.00
447;Pepsi 2L;6111252420059;0.00
265;Poms 2;5449000036957;0.00
156;Press Up moyen;6111242107366;0.00
244;Príncipe crema de chocolate;7622210204424;0.00
456;Pulpy pècne;5449000203823;0.00
321;Pâte à tartiner;6111262820245;0.00
652;Rubicon Jus;;0.00
643;Rubicon Orange;;0.00
327;Sandwich Zero Sin Azúcares;8410376037784;0.00
341;Schweppes citron 45cl;5449000318947;0.00
295;Simon life;8410261643014;0.00
325;Spofy;3362600017619;0.00
206;Sprite;5449000015105;0.00
393;Sting - Berry Blast;6111252422169;0.00
349;Tentation;6111017046029;0.00
342;Tentation aiguebelle;6111017046043;0.00
419;Zero sin azúcares Chip Choco;8410376009415;0.00
319;cola;54022263;0.00
368;délice noir;6111017046470;0.00
228;fanta tops lemon 1.5l;5449000132277;0.00
359;frut;6111242926035;0.00
315;ice POMME 1.5l;6111243860383;0.00
312;ice cola strong;6111243860352;0.00
369;lipton yellow label tea x25;8720608632633;0.00
331;original oreo;6111031005576;0.00
123;press up jaouda petit orange;6111266962910;0.00
234;refresco de naranja;5449000036889;0.00
208;saveur fruit rouge ice tea;6111252422428;0.00
125;برس اب الخوخ جودة 1لتر;6111242104198;0.00
444;برس اب الخوخ جودة 1لتر;6111242104549;0.00
235;عصري بناشي;6111032002970;0.00
531;Aicha Confiture;;0.00
581;Aicha Confiture;;0.00
600;Aicha Confiture;;0.00
