id;name;category;barcode;price;purchasePrice;stock;minStock;image;expirationDate
1;Beurre de cacahuètes 340g – JANIS;Epicerie;;27.95;;50;5;00001.jpg;
2;Boîte de maïs 340g – JANIS;Epicerie;;12.50;;50;5;00002.jpg;
3;Cornichons épicés en morceaux 330g – KÜHNE;Epicerie;;39.95;;50;5;00003.jpg;
4;Cornichons légèrement surcrés 180g – KÜHNE;Epicerie;;41.50;;50;5;00004.jpg;
5;Farine fleur 10kg – KENZ;Epicerie;;55.95;;50;5;00005.jpg;
6;Farine pain Beldi 5kg + farine de luxe 1kg – LUXOR;Epicerie;;33.90;;50;5;00006.jpg;
7;Huile d’olive vierge 1L – CAMPO SUR;Epicerie;;54.95;;50;5;00007.jpg;
8;Lentilles 1kg – JANIS;Epicerie;;12.95;;50;5;00008.jpg;
9;Lot 3 boîtes de champignons en morceaux 185g – JANIS;Epicerie;;29.95;;50;5;00009.jpg;
10;Lot de 3 Boîtes de maïs 140g – JANIS;Epicerie;;28.95;;50;5;00010.jpg;
11;Lot de 3 boîtes de thon 80g – JANIS;Epicerie;;24.50;;50;5;00011.jpg;
12;Lot de 3 boites de thon 80g sauce tomate ou huile de tournesol – JANIS;Epicerie;;24.95;;50;5;00012.jpg;
13;Lot de 3 couscous calibre moyen 500g DALIA;Epicerie;;16.20;;50;5;00013.jpg;
14;Lot de 3 couscous moyens 500g – ALITKANE;Epicerie;;15.95;;50;5;00014.jpg;
15;Lot de 3 spaghettis 500g – JANIS;Epicerie;;21.60;;50;5;00015.jpg;
16;Mélange fruits secs 80g Royal Mix – DÉNIA;Epicerie;;15.95;;50;5;00016.jpg;
17;Semoule fine blé dur 5Kg – MOONY;Epicerie;;52.95;;50;5;00017.jpg;
18;ABRICOT SEC 500G ONCLE SAM;Epicerie;;118.60;;50;5;00018.jpg;
19;AIL SEMOULE 100G GAYA;Epicerie;;22.95;;50;5;00019.jpg;
20;AIL SEMOULE 215G HARMONY;Epicerie;;83.90;;50;5;00020.jpg;
21;AIL SEMOULE 300G GAYA;Epicerie;;61.20;;50;5;00021.jpg;
22;AIL SEMOULE 60G DUCROS;Epicerie;;22.10;;50;5;00022.jpg;
23;AIL SEMOULE 60G HARMONY;Epicerie;;18.95;;50;5;00023.jpg;
24;AMANDE RIFFI 900G ONCLE SAM;Epicerie;;146.95;;50;5;00024.jpg;
25;AMANDES 250G ONCLE SAM;Epicerie;;43.50;;50;5;00025.jpg;
26;AMANDES RIFFI 200G ROSANA;Epicerie;;33.50;;50;5;00026.jpg;
27;ANCHOIS A L’HUILE D’OLIVE EXTRA VIERGE 100G CONNETABLE;Epicerie;;27.90;;50;5;00027.jpg;
28;ANGEL HAIR N°1 500G BARILLA;Epicerie;;26.95;;50;5;00028.jpg;
29;ASSAISONEMENT KEFTA 35G JAVANA;Epicerie;;16.95;;50;5;00029.jpg;
30;ASSAISONEMENT POULET AIL ORIGAN 35G IDEAL;Epicerie;;10.90;;50;5;00030.jpg;
31;ASSAISONEMENT POULET EPICE GOUT BARBECUE 52G IDEAL;Epicerie;;10.90;;50;5;00031.jpg;
32;ASSAISONEMENT POULET EPICES GOUT GRILLADE 32G IDEAL;Epicerie;;10.90;;50;5;00032.jpg;
33;ASSAISONNEMENT CHAWARMA POULET 30G JAVANA;Epicerie;;16.95;;50;5;00033.jpg;
34;ASSAISONNEMENT GRILLADE 40G JAVANA;Epicerie;;12.20;;50;5;00034.jpg;
35;BABA GHANNOUGE PRET A MANGER 385G AL WADI;Epicerie;;46.95;;50;5;00035.jpg;
36;BASILIC 12G HARMONY;Epicerie;;11.20;;50;5;00036.jpg;
37;BICARBONATE DE SOUDE 250G DUCROS;Epicerie;;32.20;;50;5;00037.jpg;
38;BLE 10 MIN CUISSON 500G EBLY;Epicerie;;34.50;;50;5;00038.jpg;
39;BLE DUR PRECUIT 1KG EBLY;Epicerie;;64.50;;50;5;00039.jpg;
40;BLE DUR PRECUIT 500G AMGALITA;Epicerie;;28.20;;50;5;00040.jpg;
41;BLE TENDRES PERLES BOITE 2 SACHETS*175G TIPIAK;Epicerie;;43.30;;50;5;00041.jpg;
42;BOUILLON 3EN1 AU SAFRAN PUR 8 CUBES IDEAL;Epicerie;;10.50;;50;5;00042.jpg;
43;BOUILLON ALLEGE EN SEL 8 CUBES IDEAL;Epicerie;;6.95;;50;5;00043.jpg;
