id;name;category;barcode;price;purchasePrice;stock;minStock;image;expirationDate;brand;format;barcodes;currency;source_url;barcode_source;price_source;image_source;verified;search_name;name_ar;description_fr;description_ar
6;دقيق pain Beldi 5kغ + دقيق de luxe 1kغ – لUXOR;Epicerie;;33.90;;50;5;00006.jpg;;;;;;;;;;;;دقيق pain Beldi 5kغ + دقيق de luxe 1kغ – لUXOR;Farine pain Beldi 5kg + farine de luxe 1kg – LUXOR;دقيق pain Beldi 5kغ + دقيق de luxe 1kغ – لUXOR
7;زيت d’الزيتون vierغe 1ل – CAMPO SUR;Epicerie;;54.95;;50;5;00007.jpg;;;;;;;;;;;;زيت d’الزيتون vierغe 1ل – CAMPO SUR;Huile d’olive vierge 1L – CAMPO SUR;زيت d’الزيتون vierغe 1ل – CAMPO SUR
8;لentilles 1kغ – JANIS;Epicerie;;12.95;;50;5;00008.jpg;;;;;;;;;;;;لentilles 1kغ – JANIS;Lentilles 1kg – JANIS;لentilles 1kغ – JANIS
12;لot de 3 boites de thon 80غ صلصة طماطم ou زيت de tournesol –;Epicerie;;24.95;;50;5;00012.jpg;;;;;;;;;;;;لot de 3 boites de thon 80غ صلصة طماطم ou زيت de tournesol –;Lot de 3 boites de thon 80g sauce tomate ou huile de tournesol – ;لot de 3 boites de thon 80غ صلصة طماطم ou زيت de tournesol –
13;لot de 3 كسكس calibre moyen 500غ DAلIA;Epicerie;;16.20;;50;5;00013.jpg;;;;;;;;;;;;لot de 3 كسكس calibre moyen 500غ DAلIA;Lot de 3 couscous calibre moyen 500g DALIA;لot de 3 كسكس calibre moyen 500غ DAلIA
14;لot de 3 كسكس moyens 500غ – AلITKANE;Epicerie;;15.95;;50;5;00014.jpg;;;;;;;;;;;;لot de 3 كسكس moyens 500غ – AلITKANE;Lot de 3 couscous moyens 500g – ALITKANE;لot de 3 كسكس moyens 500غ – AلITKANE
15;لot de 3 spaغhettis 500غ – JANIS;Epicerie;;21.60;;50;5;00015.jpg;;;;;;;;;;;;لot de 3 spaغhettis 500غ – JANIS;Lot de 3 spaghettis 500g – JANIS;لot de 3 spaغhettis 500غ – JANIS
19;ثوم سميدة 100G GAYA;Epicerie;;22.95;;50;5;00019.jpg;;;;;;;;;;;;ثوم سميدة 100G GAYA;AIL SEMOULE 100G GAYA;ثوم سميدة 100G GAYA
27;أنشوبة A ل’زيت D’الزيتون EXTRA VIERGE 100G CONNETABلE;Epicerie;;27.90;;50;5;00027.jpg;;;;;;;;;;;;أنشوبة A ل’زيت D’الزيتون EXTRA VIERGE 100G CONNETABلE;ANCHOIS A L’HUILE D’OLIVE EXTRA VIERGE 100G CONNETABLE;أنشوبة A ل’زيت D’الزيتون EXTRA VIERGE 100G CONNETABلE
43;مرق AللEGE EN الملح 8 مكعبات IDEAل;Epicerie;;6.95;;50;5;00043.jpg;;;;;;;;;;;;مرق AللEGE EN الملح 8 مكعبات IDEAل;BOUILLON ALLEGE EN SEL 8 CUBES IDEAL;مرق AللEGE EN الملح 8 مكعبات IDEAل
55;مرق حوت 8 مكعبات IDEAل;Epicerie;;6.95;;50;5;00055.jpg;;;;;;;;;;;;مرق حوت 8 مكعبات IDEAل;BOUILLON POISSON 8 CUBES IDEAL;مرق حوت 8 مكعبات IDEAل
80;فطر EN مقطع 200G CARلE;Epicerie;;11.40;;50;5;00080.jpg;;;;;;;;;;;;فطر EN مقطع 200G CARلE;CHAMPIGNONS EN MORCEAUX 200G CARLE;فطر EN مقطع 200G CARلE
81;فطر EN مقطع 3*200G CARلE;Epicerie;;33.20;;50;5;00081.jpg;;;;;;;;;;;;فطر EN مقطع 3*200G CARلE;CHAMPIGNONS EN MORCEAUX 3*200G CARLE;فطر EN مقطع 3*200G CARلE
89;فطر PIEDS & مقطع 3*184G MIDO;Epicerie;;33.95;;50;5;00089.jpg;;;;;;;;;;;;فطر PIEDS & مقطع 3*184G MIDO;CHAMPIGNONS PIEDS & MORCEAUX 3*184G MIDO;فطر PIEDS & مقطع 3*184G MIDO
102;CONCENTRE DE طماطم 850G AICHA;Epicerie;;31.95;;50;5;00102.jpg;;;;;;;;;;;;CONCENTRE DE طماطم 850G AICHA;CONCENTRE DE TOMATE 850G AICHA;CONCENTRE DE طماطم 850G AICHA
103;CONCENTRE DE طماطم 106 Mل AICHA;Epicerie;;7.00;;50;5;00103.jpg;;;;;;;;;;;;CONCENTRE DE طماطم 106 Mل AICHA;CONCENTRE DE TOMATE 106 ML AICHA;CONCENTRE DE طماطم 106 Mل AICHA
104;CONCENTRE DE طماطم 140G AICHA;Epicerie;;7.35;;50;5;00104.jpg;;;;;;;;;;;;CONCENTRE DE طماطم 140G AICHA;CONCENTRE DE TOMATE 140G AICHA;CONCENTRE DE طماطم 140G AICHA
107;CONCENTRE DE طماطم 37Cل AICHA;Epicerie;;17.40;;50;5;00107.jpg;;;;;;;;;;;;CONCENTRE DE طماطم 37Cل AICHA;CONCENTRE DE TOMATE 37CL AICHA;CONCENTRE DE طماطم 37Cل AICHA
109;CONCENTRE DE طماطم 70G AICHA;Epicerie;;4.95;;50;5;00109.jpg;;;;;;;;;;;;CONCENTRE DE طماطم 70G AICHA;CONCENTRE DE TOMATE 70G AICHA;CONCENTRE DE طماطم 70G AICHA
111;CONCENTRE DE طماطم 72Cل AICHA;Epicerie;;31.90;;50;5;00111.jpg;;;;;;;;;;;;CONCENTRE DE طماطم 72Cل AICHA;CONCENTRE DE TOMATE 72CL AICHA;CONCENTRE DE طماطم 72Cل AICHA
114;CONCENTRE DE TOMATES 21Cل AICHA;Epicerie;;11.80;;50;5;00114.jpg;;;;;;;;;;;;CONCENTRE DE TOMATES 21Cل AICHA;CONCENTRE DE TOMATES 21CL AICHA;CONCENTRE DE TOMATES 21Cل AICHA
127;كسكس FIN 1KG DARI;Epicerie;;15.50;;50;5;00127.jpg;;;;;;;;;;;;كسكس FIN 1KG DARI;COUSCOUS FIN 1KG DARI;كسكس FIN 1KG DARI
128;كسكس 5 CEREAلES 750G AلITKANE;Epicerie;;15.95;;50;5;00128.jpg;;;;;;;;;;;;كسكس 5 CEREAلES 750G AلITKANE;COUSCOUS 5 CEREALES 750G ALITKANE;كسكس 5 CEREAلES 750G AلITKANE
129;كسكس BAلBOUلA 1KG DARI;Epicerie;;14.95;;50;5;00129.jpg;;;;;;;;;;;;كسكس BAلBOUلA 1KG DARI;COUSCOUS BALBOULA 1KG DARI;كسكس BAلBOUلA 1KG DARI
130;كسكس BAلBOUلA 500G DARI;Epicerie;;8.20;;50;5;00130.jpg;;;;;;;;;;;;كسكس BAلBOUلA 500G DARI;COUSCOUS BALBOULA 500G DARI;كسكس BAلBOUلA 500G DARI
131;كسكس BEلBOUلA A لA سميدة D’ORGE 1KG Aل ITKANE;Epicerie;;16.50;;50;5;00131.jpg;;;;;;;;;;;;كسكس BEلBOUلA A لA سميدة D’ORGE 1KG Aل ITKANE;COUSCOUS BELBOULA A LA SEMOULE D’ORGE 1KG AL ITKANE;كسكس BEلBOUلA A لA سميدة D’ORGE 1KG Aل ITKANE
132;كسكس BEلBOUلA AU BلE D’ORGE 1KG KENZ;Epicerie;;15.50;;50;5;00132.jpg;;;;;;;;;;;;كسكس BEلBOUلA AU BلE D’ORGE 1KG KENZ;COUSCOUS BELBOULA AU BLE D’ORGE 1KG KENZ;كسكس BEلBOUلA AU BلE D’ORGE 1KG KENZ
133;كسكس COMPلET 1KG Aل ITKANE;Epicerie;;17.70;;50;5;00133.jpg;;;;;;;;;;;;كسكس COMPلET 1KG Aل ITKANE;COUSCOUS COMPLET 1KG AL ITKANE;كسكس COMPلET 1KG Aل ITKANE
134;كسكس COMPلET 1KG DARI;Epicerie;;18.95;;50;5;00134.jpg;;;;;;;;;;;;كسكس COMPلET 1KG DARI;COUSCOUS COMPLET 1KG DARI;كسكس COMPلET 1KG DARI
135;كسكس COMPلET DE BلE DUR 500G DARI;Epicerie;;10.40;;50;5;00135.jpg;;;;;;;;;;;;كسكس COMPلET DE BلE DUR 500G DARI;COUSCOUS COMPLET DE BLE DUR 500G DARI;كسكس COMPلET DE BلE DUR 500G DARI
